Time,Total Vehicles Registered,"95% Confidence Interval, lower bound","95% Confidence Interval, upper bound"
2024.000,3281153,3228504,3333803
2024.083,3285832,3233123,3338540
2024.167,3290511,3237741,3343280
2024.250,3295189,3242358,3348021
2024.333,3299868,3246973,3352764
2024.417,3304547,3251586,3357508
2024.500,3309225,3256198,3362253
2024.583,3313904,3260808,3367000
2024.667,3318583,3265417,3371749
2024.750,3323262,3270024,3376499
2024.833,3327940,3274630,3381250
2024.917,3332619,3279235,3386003
