Time,Total Vehicles Registered,"95% Confidence Interval, lower bound","95% Confidence Interval, upper bound"
2024.000,3223801,3333802,3228505
2024.083,3223805,3338540,3233124
2024.167,3231177,3343279,3237742
2024.250,3237629,3348020,3242359
2024.333,3244611,3352763,3246974
2024.417,3255073,3357507,3251587
2024.500,3254569,3362252,3256199
2024.583,3258060,3366999,3260809
2024.667,3256515,3371748,3265418
2024.750,3252275,3376498,3270025
2024.833,3253059,3381249,3274631
2024.917,3258025,3386002,3279236
